,Order_ID,Ship_Mode,Ship_Date,Ship_id,Ship_Year,Ship_Month,Ord_id,Prod_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Product_Category,Product_Sub_Category,Customer_Name,Province,Region,Customer_Segment,Order_Date,Order_Priority,Order_Month,Order_Year,Duration
0,3,REGULAR AIR,2010-10-20,SHP_1,2010,10,Ord_1,Prod_1,Cust_1,261.54,0.04,6,-213.25,35.0,0.8,OFFICE SUPPLIES,STORAGE & ORGANIZATION,MUHAMMED MACINTYRE,NUNAVUT,NUNAVUT,SMALL BUSINESS,2010-10-13,LOW,10,2010,7
1,293,DELIVERY TRUCK,2012-02-10,SHP_2,2012,2,Ord_2,Prod_2,Cust_2,10123.02,0.07,49,457.81,68.02,0.58,OFFICE SUPPLIES,APPLIANCES,BARRY FRENCH,NUNAVUT,NUNAVUT,CONSUMER,2012-01-10,HIGH,1,2012,0
2,293,REGULAR AIR,2012-03-10,SHP_3,2012,3,Ord_2,Prod_3,Cust_2,244.57,0.01,27,46.71,2.99,0.39,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,BARRY FRENCH,NUNAVUT,NUNAVUT,CONSUMER,2012-01-10,HIGH,1,2012,0
3,483,REGULAR AIR,2011-12-07,SHP_4,2011,12,Ord_3,Prod_4,Cust_3,4965.7595,0.08,30,1198.97,3.99,0.58,TECHNOLOGY,TELEPHONES AND COMMUNICATION,CLAY ROZENDAL,NUNAVUT,NUNAVUT,CORPORATE,2011-10-07,HIGH,10,2011,0
4,515,REGULAR AIR,2010-08-30,SHP_5,2010,8,Ord_4,Prod_2,Cust_4,394.27,0.08,19,30.94,5.94,0.5,OFFICE SUPPLIES,APPLIANCES,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-08-28,NOT SPECIFIED,8,2010,2
5,515,REGULAR AIR,2010-08-30,SHP_5,2010,8,Ord_4,Prod_5,Cust_4,146.69,0.05,21,4.43,4.95,0.37,FURNITURE,OFFICE FURNISHINGS,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-08-28,NOT SPECIFIED,8,2010,2
6,613,REGULAR AIR,2011-06-17,SHP_6,2011,6,Ord_5,Prod_3,Cust_5,93.54,0.03,12,-54.04,7.72,0.38,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,CARL JACKSON,NUNAVUT,NUNAVUT,CORPORATE,2011-06-17,HIGH,6,2011,0
7,613,REGULAR AIR,2011-06-18,SHP_7,2011,6,Ord_5,Prod_1,Cust_5,905.08,0.09,22,127.7,6.22,,OFFICE SUPPLIES,STORAGE & ORGANIZATION,CARL JACKSON,NUNAVUT,NUNAVUT,CORPORATE,2011-06-17,HIGH,6,2011,1
8,643,EXPRESS AIR,2011-03-25,SHP_8,2011,3,Ord_6,Prod_1,Cust_6,2781.82,0.07,21,-695.26,35.0,,OFFICE SUPPLIES,STORAGE & ORGANIZATION,MONICA FEDERLE,NUNAVUT,NUNAVUT,CORPORATE,2011-03-24,HIGH,3,2011,1
9,678,REGULAR AIR,2010-02-26,SHP_9,2010,2,Ord_7,Prod_6,Cust_7,228.41,0.07,44,-226.36,8.33,0.38,OFFICE SUPPLIES,PAPER,DOROTHY BADDERS,NUNAVUT,NUNAVUT,HOME OFFICE,2010-02-26,LOW,2,2010,0
